year,cases
2025-01-01,16996
2025-02-01,17215
2025-03-01,16223
2025-04-01,15999
2025-05-01,38025
2025-06-01,11522
2025-07-01,10957
2025-08-01,11292
2025-09-01,15994
2025-10-01,13964
2025-11-01,11798
2025-12-01,0
2024-01-01,25492
2024-02-01,25080
2024-03-01,21000
2024-04-01,16126
2024-05-01,15290
2024-06-01,12034
2024-07-01,17449
2024-08-01,16660
2024-09-01,18399
2024-10-01,15898
2024-11-01,12972
2024-12-01,18675
2023-01-01,830
2023-02-01,1370
2023-03-01,862
2023-04-01,1964
2023-05-01,3765
2023-06-01,6002
2023-07-01,7341
2023-08-01,11200
2023-09-01,20058
2023-10-01,22308
2023-11-01,20418
2023-12-01,20550
2022-01-01,72
2022-02-01,88
2022-03-01,104
2022-04-01,122
2022-05-01,104
2022-06-01,98
2022-07-01,105
2022-08-01,176
2022-09-01,164
2022-10-01,169
2022-11-01,67
2022-12-01,46
2021-01-01,76
2021-02-01,39
2021-03-01,42
2021-04-01,64
2021-05-01,106
2021-06-01,112
2021-07-01,70
2021-08-01,62
2021-09-01,98
2021-10-01,74
2021-11-01,146
2021-12-01,111
2020-01-01,0
2020-02-01,0
2020-03-01,0
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,36
2020-09-01,33
2020-10-01,56
2020-11-01,65
2020-12-01,57
